id,observed_on,time_observed_at,scientific_name,common_name,taxon_id
148483387,2023-02-10,2023-02-10 12:32:28 UTC,Poecile atricapillus,Black-capped Chickadee,144815
148483396,2023-02-09,2023-02-09 12:32:05 UTC,Cyanocitta cristata,Blue Jay,8229
148483677,2023-02-09,2023-02-09 12:21:42 UTC,Agelaius phoeniceus,Red-winged Blackbird,9744
148483680,2023-02-08,2023-02-08 12:39:57 UTC,Melospiza melodia,Song Sparrow,9100
148483690,2023-02-08,2023-02-08 12:34:50 UTC,Haemorhous mexicanus,House Finch,199840
148483691,2023-02-10,2023-02-10 12:40:33 UTC,Dryobates pubescens,Downy Woodpecker,792988
148483692,2023-02-10,2023-02-10 18:26:42 UTC,Zenaida macroura,Mourning Dove,3454
148542788,2023-02-10,2023-02-10 20:15:00 UTC,Anser anser domesticus,Domestic Greylag Goose,120479
148542789,2023-02-10,2023-02-10 20:16:00 UTC,Anser anser × Branta canadensis,Greylag × Canada Goose,514057
148546485,2023-02-11,2023-02-11 20:30:54 UTC,Branta canadensis,Canada Goose,7089
148550629,2023-02-05,2023-02-05 20:20:03 UTC,Aythya collaris,Ring-necked Duck,7044
148550665,2023-02-05,2023-02-05 20:26:15 UTC,Bucephala albeola,Bufflehead,6993
148550693,2023-02-05,2023-02-05 19:58:56 UTC,Lophodytes cucullatus,Hooded Merganser,7109
148557981,2023-02-11,2023-02-11 21:26:31 UTC,Branta canadensis,Canada Goose,7089
148572427,2023-02-11,2023-02-11 14:31:00 UTC,Columba livia domestica,Feral Pigeon,122767
148572428,2023-02-11,2023-02-11 14:31:00 UTC,Anas platyrhynchos,Mallard,6930
148572430,2023-02-11,2023-02-11 14:31:00 UTC,Cygnus olor,Mute Swan,6921
148619793,2023-02-12,2023-02-12 15:20:38 UTC,Anas platyrhynchos domesticus,Domestic Mallard,236935
148620094,2023-02-12,2023-02-12 15:27:06 UTC,Anas platyrhynchos domesticus,Domestic Mallard,236935
148643608,2023-02-11,2023-02-11 19:00:00 UTC,Meleagris gallopavo silvestris,Eastern Wild Turkey,319123
148656987,2023-02-12,2023-02-12 19:29:00 UTC,Sitta carolinensis,White-breasted Nuthatch,14801
148656988,2023-02-12,2023-02-12 19:29:00 UTC,Dryobates pubescens,Downy Woodpecker,792988
148656989,2023-02-12,2023-02-12 19:29:00 UTC,Poecile atricapillus,Black-capped Chickadee,144815
148657000,2023-02-12,2023-02-12 19:29:00 UTC,Agelaius phoeniceus,Red-winged Blackbird,9744
148657002,2023-02-12,2023-02-12 19:29:00 UTC,Melospiza melodia,Song Sparrow,9100
148657003,2023-02-12,2023-02-12 19:29:00 UTC,Passer domesticus,House Sparrow,13858
148657531,2023-02-12,2023-02-12 19:37:00 UTC,Lophodytes cucullatus,Hooded Merganser,7109
148657532,2023-02-12,2023-02-12 19:37:00 UTC,Cardinalis cardinalis,Northern Cardinal,9083
148657534,2023-02-12,2023-02-12 19:37:00 UTC,Mimus polyglottos,Northern Mockingbird,14886
148657535,2023-02-12,2023-02-12 19:37:00 UTC,Cardinalis cardinalis,Northern Cardinal,9083
148657538,2023-02-12,2023-02-12 19:37:00 UTC,Melanerpes carolinus,Red-bellied Woodpecker,18205
148657541,2023-02-12,2023-02-12 19:37:00 UTC,Cardinalis cardinalis,Northern Cardinal,9083
148657542,2023-02-12,2023-02-12 19:37:00 UTC,Baeolophus bicolor,Tufted Titmouse,13632
148657543,2023-02-12,2023-02-12 19:37:00 UTC,Mimus polyglottos,Northern Mockingbird,14886
148657545,2023-02-12,2023-02-12 19:37:00 UTC,Anas platyrhynchos,Mallard,6930
148663722,2023-02-12,2023-02-12 18:27:27 UTC,Lophodytes cucullatus,Hooded Merganser,7109
148708397,2023-02-12,2023-02-12 14:02:05 UTC,Cyanocitta cristata,Blue Jay,8229
148708438,2023-02-12,2023-02-12 14:01:55 UTC,Melanerpes carolinus,Red-bellied Woodpecker,18205
148712979,2023-02-13,2023-02-13 21:15:00 UTC,Bucephala albeola,Bufflehead,6993
148713299,2023-02-13,2023-02-13 21:42:00 UTC,Gavia immer,Common Loon,4626
148725400,2023-02-13,2023-02-13 17:45:00 UTC,Baeolophus bicolor,Tufted Titmouse,13632
148725402,2023-02-13,2023-02-13 17:45:00 UTC,Sitta carolinensis,White-breasted Nuthatch,14801
148725403,2023-02-13,2023-02-13 17:45:00 UTC,Cyanocitta cristata,Blue Jay,8229
148725404,2023-02-13,2023-02-13 17:45:00 UTC,Certhia americana,Brown Creeper,7458
148725405,2023-02-13,2023-02-13 17:45:00 UTC,Melospiza melodia,Song Sparrow,9100
148725406,2023-02-13,2023-02-13 17:45:00 UTC,Dryobates villosus,Hairy Woodpecker,792990
148725486,2023-02-13,2023-02-13 17:49:00 UTC,Colaptes auratus,Northern Flicker,18236
148732914,2023-02-13,2023-02-13 16:07:19 UTC,Certhia americana,Brown Creeper,7458
148736491,2023-02-13,2023-02-13 13:39:00 UTC,Meleagris gallopavo,Wild Turkey,906
148754741,2023-02-14,2023-02-14 12:07:50 UTC,Certhia americana,Brown Creeper,7458
